method,mechanism,rate,seed,n_test_patients,shap_rmse,lime_mean_rho,lime_median_rho,lime_n_valid,lime_n_invalid
KNN,MAR,0.3,47,60,0.024910826019783592,0.8402014652014652,0.8379120879120879,60,0
KNN,MAR,0.3,48,60,0.036716190745520405,0.8663003663003663,0.8791208791208791,60,0
KNN,MAR,0.3,49,60,0.026799258832839262,0.8582417582417583,0.8598901098901098,60,0
KNN,MCAR,0.1,42,60,0.017474398491136134,0.9417582417582417,0.945054945054945,60,0
KNN,MCAR,0.1,43,60,0.01949727008855983,0.9248168498168499,0.9285714285714285,60,0
KNN,MCAR,0.1,44,60,0.00859779206211541,0.9464285714285714,0.9505494505494506,60,0
KNN,MCAR,0.1,45,60,0.019314986119616774,0.9278388278388279,0.9285714285714285,60,0
KNN,MCAR,0.1,46,60,0.015073069740499871,0.9543040293040292,0.9560439560439561,60,0
KNN,MCAR,0.1,47,60,0.014962888014894518,0.9739010989010989,0.9780219780219779,60,0
KNN,MCAR,0.1,48,60,0.018341509260936268,0.897161172161172,0.9038461538461539,60,0
KNN,MCAR,0.1,49,60,0.009574423233829605,0.9292124542124542,0.9340659340659341,60,0
KNN,MCAR,0.2,42,60,0.02068044645372523,0.9041208791208792,0.9065934065934067,60,0
KNN,MCAR,0.2,43,60,0.016646768450640954,0.9217948717948716,0.9230769230769231,60,0
KNN,MCAR,0.2,44,60,0.032113686626908,0.8855311355311356,0.8956043956043955,60,0
KNN,MCAR,0.2,45,60,0.02625263653735557,0.8867216117216116,0.8901098901098902,60,0
KNN,MCAR,0.2,46,60,0.024510341089586503,0.8556776556776557,0.8681318681318682,60,0
KNN,MCAR,0.2,47,60,0.016912033726271425,0.9444139194139195,0.9505494505494506,60,0
KNN,MCAR,0.2,48,60,0.027553000547487806,0.9064102564102563,0.9065934065934067,60,0
KNN,MCAR,0.2,49,60,0.024484437243057443,0.9302197802197801,0.9340659340659341,60,0
KNN,MCAR,0.3,42,60,0.024940907106827254,0.8955128205128206,0.8983516483516483,60,0
